Remove Pin=R59-1 From Net=FLASH_DQ0
Change Component Designator: OldDesignator=CX18 NewDesignator=CX16
Change Component Designator: OldDesignator=R60 NewDesignator=R59
Change Component Designator: OldDesignator=R61 NewDesignator=R60
Change Component Designator: OldDesignator=R62 NewDesignator=R61
Change Component Designator: OldDesignator=R63 NewDesignator=R62
Change Component Designator: OldDesignator=R64 NewDesignator=R63
Change Component Designator: OldDesignator=R65 NewDesignator=R64
Change Component Designator: OldDesignator=R66 NewDesignator=R65
Change Component Designator: OldDesignator=R67 NewDesignator=R66
Change Component Designator: OldDesignator=R68 NewDesignator=R67
Change Component Designator: OldDesignator=R69 NewDesignator=R68
Change Component Designator: OldDesignator=R70 NewDesignator=R69
Change Component Designator: OldDesignator=R71 NewDesignator=R70
Change Component Designator: OldDesignator=R72 NewDesignator=R71
Change Component Designator: OldDesignator=R73 NewDesignator=R72
Change Component Designator: OldDesignator=R74 NewDesignator=R73
Change Component Designator: OldDesignator=R75 NewDesignator=R74
Change Component Designator: OldDesignator=R76 NewDesignator=R75
Change Component Designator: OldDesignator=R77 NewDesignator=R76
Change Component Designator: OldDesignator=R78 NewDesignator=R77
Change Component Designator: OldDesignator=R79 NewDesignator=R78
Change Component Designator: OldDesignator=R80 NewDesignator=R79
Change Component Designator: OldDesignator=R81 NewDesignator=R80
Change Component Designator: OldDesignator=R82 NewDesignator=R81
Change Component Designator: OldDesignator=R83 NewDesignator=R82
Change Component Designator: OldDesignator=R84 NewDesignator=R83
Change Component Designator: OldDesignator=R85 NewDesignator=R84
Change Component Designator: OldDesignator=R86 NewDesignator=R85
Change Component Designator: OldDesignator=R87 NewDesignator=R86
Change Component Designator: OldDesignator=R88 NewDesignator=R87
Change Component Designator: OldDesignator=R89 NewDesignator=R88
Change Component Designator: OldDesignator=R90 NewDesignator=R89
Change Component Designator: OldDesignator=R91 NewDesignator=R90
Change Component Designator: OldDesignator=R92 NewDesignator=R91
Change Component Designator: OldDesignator=R93 NewDesignator=R92
Change Component Designator: OldDesignator=R94 NewDesignator=R93
Change Component Designator: OldDesignator=R95 NewDesignator=R94
Change Component Designator: OldDesignator=R96 NewDesignator=R95
